n_blocks,base_filters,learning_rate,dense_units,epochs,best_val_acc,best_val_loss
3,32,0.001,256,20,0.9815950989723206,0.04424513503909111
2,64,0.0003,256,20,0.9815950989723206,0.061919696629047394
3,32,0.0003,256,20,0.9785276055335999,0.05461827293038368
3,64,0.001,256,20,0.9754601120948792,0.06227225437760353
2,32,0.001,256,20,0.9754601120948792,0.07458366453647614
3,64,0.0003,256,20,0.9723926186561584,0.07633277028799057
2,32,0.0003,256,20,0.9631901979446411,0.11575836688280106
2,64,0.001,256,20,0.953987717628479,0.11835590749979019
